disease_ID,disease_name,ICD9,meridian,symptoms,acupoints
SYS0023,失眠,780.5,足太陽膀胱經,['失眠'],"['肝俞', '脾俞', '腎俞', '足三里', '胃俞', '陽陵泉', '合谷', '行間', '太沖', '內關', '中脘', '承漿', '攢竹', '太陽', '風池', '肺俞', '身柱', '大椎', '豐隆', '人皇穴', '翳風', '委中', '承山', '崑崙', '血海', '太溪', '風府', '關元', '心靈穴', '三陰交', '神門', '皮質下', '肝', '脾', '百會', '神庭', '水溝', '大陵', '膽俞', '湧泉', '照海', '間使', '陰交', '水腑穴', '陰陵泉', '命門', '天樞', '氣海', '下脘', '地皇穴', '後頂', '至陽', '手三里', '心俞', '中沖', '交感', '申脈', '腎', '心', '神道', '四神聰', '印堂', '膻中', '靈台', '鎮靜穴', '通里', '巨闕', '屋翳', '關元俞', '天皇穴', '水分', '肩井', '鳩尾', '氣海俞', '浮郄', '腦戶', '強間', '安眠', '腦清', '腦空', '陽交', '築賓', '五花穴']"
DIS0431,打呃,786.8,足太陽膀胱經,['打嗝'],"['肝俞', '脾俞', '足三里', '胃俞', '期門', '內關', '中脘', '天突', '皮質下', '肝', '神門', '氣海', '胃', '膈俞', '中沖', '交感', '扶突', '耳中']"
DIS0127,白內障,366,足太陽膀胱經,"['視力明顯減退，看電視、報紙等模糊不清', '單眼近視或遠視，看物體有重影', '遠視突然減輕，不再需要戴老花眼鏡', '發生眩光現象，即在夜晚，看燈光時會出現彩虹圈', '眼前出現大小不等、形狀不一的黑點']","['肝俞', '腎俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '風池', '人皇穴', '翳風', '地皇穴', '上白穴', '光明穴', '天黃穴', '明黃穴', '其黃穴', '光明', '水相穴', '水仙穴', '四花副穴', '天皇穴', '止涎五穴', '玉枕', '腦戶', '絡卻', '水頂穴', '珠園穴']"
DIS0068,白血球減少,288,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '胃俞', '肝門穴', '大椎', '血海', '三陰交', '命門', '木斗穴', '木留穴', '膈俞', '其黃穴']"
DIS0617,交感型頸椎病,,足太陽膀胱經,"['明显的头痛而且还伴有眩晕、惡心', '失眠、記憶力衰退、耳鸣和视力改变']","['肝俞', '合谷', '內關', '風池', '大椎', '風府', '列缺']"
SYS0003,耳鳴,388.3,足太陽膀胱經,['耳鳴'],"['肝俞', '腎俞', '足三里', '靈骨穴', '合谷', '行間', '太沖', '內關', '三重穴', '浮白', '攢竹', '頭竅陰', '風池', '聽宮', '大椎', '豐隆', '天柱', '天皇副穴', '翳風', '液門', '中渚', '陽池', '外關', '支溝', '太溪', '風府', '關元', '三陰交', '皮質下', '肝', '百會', '耳尖', '迎香', '神門', '膽俞', '照海', '復溜', '商陽', '二間', '商丘', '中白穴', '下白穴', '指駟馬穴', '聽會', '耳門', '中沖', '腎', '四神聰', '印堂', '內耳', '內分泌', '外耳', '完骨', '陽溪', '後溪', '腕骨', '駟馬下穴', '駟馬上穴', '駟馬中穴', '三叉三穴', '丘墟', '足臨泣', '束骨', '俠溪', '陽谷', '三焦俞', '分水穴', '花骨一穴', '肩井', '腕順一穴', '腕順二穴', '頷厭', '懸顱', '前谷', '腦戶', '啞門', '天容', '絡卻', '三焦', '承靈', '曲鬢', '率谷', '暈聽區', '小海', '顱息', '耳和髎', '乳根']"
DIS0483,肋間神經痛,,足太陽膀胱經,[],"['肝俞', '陽陵泉', '期門', '太沖', '內關', '豐隆', '中渚', '支溝', '三陰交', '夾脊', '膈俞', '膻中', '俠溪', '曲泉']"
DIS0651,肌筋膜疼痛症候群,,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '陽陵泉', '合谷', '風池', '天柱', '外關', '委中', '崑崙', '曲池', '京門', '夾脊', '申脈', '大杼', '後溪', '足臨泣', '大腸俞', '肩井', '氣海俞', '秉風', '曲垣', '肩外俞']"
DIS0684,卵巢功能早衰,,足太陽膀胱經,"['月經稀發或頻發、閉經', '女性第二性不發育或發育差']","['肝俞', '脾俞', '腎俞', '足三里', '胃俞', '合谷', '期門', '太沖', '內關', '豐隆', '血海', '太溪', '關元', '三陰交', '膽俞', '復溜', '章門', '陰交', '陰陵泉', '命門', '天樞', '中極', '氣海', '大赫', '曲骨', '次髎', '京門', '地機', '子宮', '夾脊', '膈俞', '心俞', '陰郄', '關元俞', '中髎', '通天', '氣沖']"
DIS0437,尿滯留,788.2,足太陽膀胱經,['膀胱鬆弛腫大'],"['肝俞', '脾俞', '腎俞', '足三里', '合谷', '太沖', '曲池', '三陰交', '百會', '湧泉', '大鐘', '照海', '魚際', '陰陵泉', '中極', '氣海', '膀胱俞', '水道', '白環俞', '次髎', '委陽', '陰谷', '水泉', '蠡溝', '三焦俞']"
DIS0630,抑鬱症,,足太陽膀胱經,"['情绪低落', '兴趣减退或快感消失', '焦虑', '思维迟缓、决断能力下降、交流出现障碍', '记忆力下降、对周围环境漠不关心', '自责自罪', '消极自杀的观念和行为']","['肝俞', '足三里', '合谷', '行間', '太沖', '內關', '太陽', '頭維', '風池', '大椎', '豐隆', '太溪', '風府', '三陰交', '神門', '百會', '神庭', '水溝', '照海', '商丘', '至陽', '膈俞', '心俞', '中沖', '神道', '四神聰', '印堂', '頭臨泣', '俠溪', '中府', '率谷', '少沖']"
DIS0281,肝炎,573.3,足太陽膀胱經,[],"['肝俞', '腸門穴', '肝門穴', '陽陵泉', '行間', '太沖', '人皇穴', '指三黃穴', '膽俞', '中封', '地皇穴', '懸鐘', '天黃穴', '明黃穴', '其黃穴', '通關穴', '脾腫二穴', '天皇穴', '肝靈穴', '土昌穴', '木炎一穴', '木炎二穴', '木炎三穴', '木府穴', '木梁穴', '木昌穴', '脾腫一穴', '木硬穴']"
DIS0509,肝病,,足太陽膀胱經,[],"['肝俞', '脾俞', '足三里', '期門', '行間', '太沖', '三重穴', '章門', '火主穴', '木斗穴', '木留穴', '天黃穴', '明黃穴', '其黃穴', '火包穴', '婦靈穴', '一重穴', '二重穴', '瘛脈', '木二穴', '木一穴', '木三穴', '木硬穴']"
DIS0277,肝硬化,571,足太陽膀胱經,[],"['肝俞', '四花中穴', '肝門穴', '四花外穴', '三重穴', '指三黃穴', '外三關穴', '上曲穴', '天黃穴', '明黃穴', '其黃穴', '木黃穴', '五虎穴', '肝靈穴', '土昌穴', '木炎一穴', '木炎二穴', '木炎三穴', '木硬穴', '木耳穴']"
DIS0038,肝癌,155,足太陽膀胱經,[],"['肝俞', '大椎', '指三黃穴', '關元', '天黃穴', '明黃穴', '其黃穴', '心俞', '木黃穴', '曲泉']"
DIS0631,肝臟不適,,足太陽膀胱經,[],"['肝俞', '陽陵泉', '期門', '太沖', '中脘', '膽俞', '中封', '至陽', '膈俞', '中都', '蠡溝', '曲泉', '外丘']"
DIS0136,角膜結膜炎,370.4,足太陽膀胱經,"['疼痛、羞明、流泪和眼睑痉挛', '睫状充血、虹膜充血', '球结膜甚至眼睑水肿', '視力降低']","['肝俞', '腎俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '合谷', '太陽', '風池', '花骨二穴', '花骨四穴', '三陰交', '側間穴', '小間穴', '睛明', '上白穴', '火散穴', '五嶺穴', '四花副穴', '駟馬下穴', '駟馬上穴', '駟馬中穴', '分白穴', '海豹穴', '三叉一穴', '止涎五穴', '花骨一穴', '珠園穴', '花骨三穴', '水腰穴', '太陽穴']"
DIS0311,乳腺囊腫,611.5,足太陽膀胱經,"['胸部悶痛', '乳房疼痛或觸痛', '乳汁分泌', '乳房組織外觀呈現不規則或出現結節，甚至是硬塊']","['肝俞', '腎俞', '足三里', '膻中', '天宗', '屋翳', '額旁2線', '肩井']"
DIS0657,周邊神經病變,,足太陽膀胱經,"['面部敏感疼痛、抽搐', '手脚逐漸出現麻木、刺痛或疼痛、', '手脚出現灼痛或尖銳的刺痛', '觸摸病變部位極度敏感、沒有疼痛刺激情況下出現疼痛', '肢體動作不協調或足下垂', '肌肉無力或萎縮，感覺確實', '運動神經麻痹', '腱反射減弱或消失', '無汗、竪毛障礙及直立性低血壓', '無淚、無涎、陽痿、及膀胱直腸功能障礙']","['肝俞', '脾俞', '腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '解溪', '陽白', '內庭', '下關', '四白', '地倉', '頰車', '豐隆', '肩髃', '崑崙', '血海', '漏谷', '飛揚', '太溪', '曲池', '關元', '三陰交', '大陵', '勞宮', '梁丘', '然谷', '太白', '陰陵泉', '氣海', '地機', '環跳', '夾脊', '手三里', '伏兔', '膈俞', '球後', '髀關', '天容', '陷谷']"
DIS0134,夜盲,368.6,足太陽膀胱經,['夜盲'],"['肝俞', '足三里', '攢竹', '四白', '風池', '絲竹空', '太溪', '睛明', '光明', '承泣', '夜盲穴']"
DIS0092,帕金森氏症,332,足太陽膀胱經,"['四肢的遠端出現規律的顫抖，通常在靜止時出現，活動時消失', '肌肉、關節緊繃，因此動作不靈光；臉部肌肉僵硬，好像面無表情，講話也不流暢', '行動極為緩慢、無法聯貫，動作開始時尤其困難，動作出現不自然的狀況', '軀體向前彎曲如駝背，走路轉彎時很慢且不穩定；站立時向後倒退或傾倒']","['肝俞', '腎俞', '足三里', '陽陵泉', '合谷', '行間', '太沖', '內關', '中脘', '解溪', '風池', '身柱', '大椎', '豐隆', '天柱', '外關', '支溝', '委中', '血海', '太溪', '風府', '曲池', '關元', '三陰交', '神門', '百會', '神庭', '本神', '水溝', '梁丘', '湧泉', '尺澤', '太淵', '曲澤', '大都', '太白', '陰陵泉', '氣海', '大敦', '下脘', '額旁3線', '頂中線', '環跳', '手三里', '臂臑', '上星', '申脈', '四神聰', '印堂', '商曲', '顳三針', '靈台', '完骨', '陽溪', '後溪', '陰谷', '腰陽關', '氣', '玉枕', '懸顱', '腦戶', '腦空', '陽交', '啞門', '滑肉門', '額中線', '曲泉', '頂顳前斜線', '頂旁1線', '前頂', '懸樞', '脊中', '懸厘', '頂旁2線', '養老']"
SYS0015,泌乳不良,676.4,足太陽膀胱經,[],"['肝俞', '脾俞', '足三里', '合谷', '太沖', '液門', '外關', '三陰交', '少澤', '膈俞', '膻中', '肩井', '前谷', '乳根']"
DIS0066,肥胖症,278,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '胃俞', '合谷', '太沖', '中脘', '風市', '承漿', '內庭', '聽宮', '豐隆', '支溝', '太溪', '曲池', '關元', '三陰交', '神門', '皮質下', '脾', '梁丘', '小腸俞', '殷門', '章門', '陰交', '陰陵泉', '命門', '天樞', '中極', '氣海', '歸來', '膀胱俞', '水道', '下脘', '公孫', '子宮', '維道', '環跳', '帶脈', '梁門', '臂臑', '胃', '小腸', '膈俞', '心俞', '神闕', '交感', '腎', '膻中', '臑會', '外陵', '內分泌', '腕骨', '緣中', '建里', '志室', '關元俞', '大腸俞', '氣', '三焦俞', '石門', '水分', '耳中', '饑點', '大巨', '滑肉門', '上脘', '上巨虛', '大腸', '便祕點', '五樞', '中瀆', '胃脾大腸區', '胸腹區', '府舍', '腹結', '大橫', '太乙', '外鼻']"
DIS0462,胃病,531-537,足太陽膀胱經,[],"['肝俞', '脾俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '胃俞', '門金穴', '四花外穴', '內關', '中脘', '下脘', '火主穴', '通腎穴', '通胃穴', '膈俞', '心俞', '通關穴', '通天穴', '通山穴', '四花里穴', '巨闕', '脾腫二穴', '後心穴', '土水穴', '上脘', '脾腫一穴']"
SYS0044,胃痛,787.3,足太陽膀胱經,['胃痛'],"['肝俞', '脾俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '腑腸穴', '胃俞', '陽陵泉', '期門', '太沖', '內關', '中脘', '內庭', '花骨四穴', '心靈穴', '三陰交', '皮質下', '肝', '神門', '大陵', '勞宮', '梁丘', '膽俞', '章門', '曲澤', '間使', '下巨虛', '太白', '下脘', '公孫', '地機', '通胃穴', '居髎', '手三里', '梁門', '胃', '膈俞', '交感', '通關穴', '通天穴', '五嶺穴', '四花副穴', '通心穴', '胃毛七穴', '丘墟', '足臨泣', '三叉一穴', '額旁2線', '浮間穴', '外間穴', '止涎五穴', '三齒穴', '鳩尾', '土水穴', '上脘', '木二穴', '木一穴', '木三穴', '陷谷', '小節穴', '上巨虛', '腑快穴', '日月', '落零五區', '胃腸點']"
DIS0270,胃腸神經官能症,564,足太陽膀胱經,[],"['肝俞', '足三里', '胃俞', '內關', '中脘', '神門', '皮質下', '肝', '脾', '胃', '小腸', '交感', '巨闕', '肓俞', '大腸', '十二指腸']"
DIS0036,胃癌,151,足太陽膀胱經,"['消化不良，心灼熱感', '持續性上腹痛', '解黑便或柏油便', '嘔血', '餐後嘔吐', '全身虛弱、疲勞、體重減輕', '持續性發燒', '飽漲感']","['肝俞', '脾俞', '足三里', '胃俞', '內關', '中脘', '梁丘', '梁門', '膈俞']"
SYS0178,食慾不振,,足太陽膀胱經,['食慾不振'],"['肝俞', '脾俞', '腎俞', '足三里', '四花上穴', '靈骨穴', '門金穴', '中脘', '身柱', '天柱', '命門', '公孫', '膈俞', '神闕', '開脾穴']"
SYS0007,消化不良,536.8,足太陽膀胱經,"['餐后饱胀', '早饱感', '中上腹痛', '中上腹灼烧感']","['肝俞', '脾俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '胃俞', '合谷', '期門', '行間', '太沖', '內關', '中脘', '內庭', '豐隆', '支溝', '太溪', '指三黃穴', '關元', '三陰交', '神門', '百會', '神庭', '梁丘', '小腸俞', '章門', '商丘', '不容', '下巨虛', '大都', '陰陵泉', '天樞', '氣海', '下脘', '公孫', '木斗穴', '木留穴', '梁門', '臂臑', '膈俞', '天黃穴', '明黃穴', '其黃穴', '四神聰', '印堂', '膻中', '木黃穴', '幽門', '建里', '大腸俞', '三焦俞', '上脘', '上巨虛', '沖陽', '金五穴', '承滿']"
DIS0421,眩暈,780.4,足太陽膀胱經,['眩暈'],"['肝俞', '脾俞', '腎俞', '足三里', '水通穴', '水金穴', '行間', '太沖', '內關', '中脘', '解溪', '頭維', '風池', '豐隆', '天柱', '太溪', '風府', '皮質下', '百會', '神門', '氣海', '火腑海穴', '申脈', '腎', '四神聰', '印堂', '內耳', '大杼', '枕', '通關穴', '通天穴', '通山穴', '神耳穴', '俠溪', '腕順一穴', '腕順二穴', '玉枕', '腦空', '絡卻', '承靈', '暈聽區', '頸百勞']"
SYS0037,胸痛,786.5,足太陽膀胱經,['胸痛'],"['肝俞', '腎俞', '足三里', '腸門穴', '火星上穴', '火星下穴', '靈骨穴', '肝門穴', '陽陵泉', '期門', '行間', '太沖', '內關', '中脘', '三間', '天突', '重子穴', '重仙穴', '曲陵穴', '七里穴', '外關', '支溝', '指三黃穴', '火陵穴', '心靈穴', '三陰交', '肝', '神門', '郄門', '大陵', '勞宮', '膽俞', '足竅陰', '指腎穴', '章門', '列缺', '太白', '地宗穴', '木關穴', '璇璣', '大白穴', '梁門', '膈俞', '心門穴', '火串穴', '火山穴', '肺心穴', '上白穴', '天黃穴', '明黃穴', '其黃穴', '指駟馬穴', '人迎', '廉泉', '膻中', '枕', '心常一穴', '心常二穴', '心常三穴', '駟馬下穴', '駟馬上穴', '駟馬中穴', '人士穴', '天士穴', '建力穴', '中力穴', '通心穴', '木黃穴', '神封', '靈墟', '巨闕', '丘墟', '足臨泣', '三靈穴', '脾腫二穴', '少府', '頭臨泣', '俠溪', '陽谷', '通靈穴', '蠡溝', '大包', '金府穴', '金梁穴', '金昌穴', '肝靈穴', '雲門', '步廊', '木炎一穴', '木炎三穴', '淵腋', '氣沖', '小節穴', '脾腫一穴', '外丘', '上巨虛', '華蓋', '氣戶', '胸', '輒筋', '中庭', '玉堂', '紫宮', '胸鄉']"
DIS0168,高血壓,401,足太陽膀胱經,"['偶爾會感覺頭痛，後頸部緊緊的', '視力模糊', '嚴重頭痛', '神志不清', '癲癇', '肢體無力或麻木', '惡心、嘔吐', '心率不整', '大量出汗', '血尿、少尿、無尿']","['肝俞', '腎俞', '足三里', '四花中穴', '靈骨穴', '四花外穴', '陽陵泉', '合谷', '行間', '太沖', '內關', '中脘', '太陽一穴', '太陽二穴', '重魁穴', '感覺區', '太陽', '風池', '肺俞', '大椎', '豐隆', '肩峰穴', '火菊穴', '肩髃', '崑崙', '太溪', '曲池', '關元', '三陰交', '火硬穴', '神門', '皮質下', '肝', '百會', '耳尖', '水溝', '大陵', '極泉', '湧泉', '然谷', '復溜', '商陽', '太淵', '太白', '陰陵泉', '上曲穴', '氣海', '下脘', '通腎穴', '通胃穴', '通背穴', '足運區', '大白穴', '下曲穴', '臂臑', '中白穴', '心俞', '神闕', '人迎', '交感', '腎', '心', '印堂', '外陵', '水突', '氣舍', '火連穴', '火散穴', '五嶺穴', '委中穴', '外耳穴', '神耳穴', '大腸俞', '支通穴', '落通穴', '足通谷', '後枝穴', '滑肉門', '曲泉', '富頂穴', '三聖穴', '耳背溝', '太陽穴', '降壓穴', '足三重穴', '血管舒縮區', '角窩上']"
DIS0341,乾癬,696,足太陽膀胱經,['皮膚通常會出現粗糙且邊界分明的紅色斑塊，上面覆蓋著銀白色的鱗屑，若刮除鱗屑可以看到小點狀的出血現象'],"['肝俞', '脾俞', '腎俞', '足三里', '合谷', '風市', '風池', '肺俞', '大椎', '外關', '委中', '血海', '曲池', '三陰交', '神門', '百會', '膈俞', '心俞', '駟馬下穴', '駟馬上穴', '駟馬中穴']"
DIS0025,帶狀疱疹,053,足太陽膀胱經,"['在出現皮膚症狀前的三、四天，病人會先出現莫名疼痛感，而且會格外疲累、甚至輕微發燒，就像是感冒一樣。之後皮膚漸漸出現單側帶狀分布的聚集性紅疹、水泡', '帶狀疱疹假使影響到眼睛，症狀會稍有不同：眼睛出現血絲、眼睛四周皮膚紅腫疼痛、前額眼眶四周都會出現紅疹。紅疹會慢慢變成水泡並造成疼痛。少數病患會反覆發作，此時會出現劇烈的神經痛，病患形容疼痛程度甚至大於生產時的陣痛。']","['肝俞', '足三里', '陽陵泉', '合谷', '期門', '太沖', '頂顳後斜線', '太陽', '大椎', '外關', '支溝', '委中', '血海', '曲池', '三陰交', '肝', '夾脊', '內分泌', '後溪', '額旁2線', '額旁1線', '腎上腺', '肺']"
DIS0160,梅尼爾氏症,386,足太陽膀胱經,"['眩晕', '听力异常', '耳鸣', '耳朵肿胀感', '恶心呕吐', '失去平衡感']","['肝俞', '腎俞', '足三里', '陽陵泉', '太沖', '內關', '風池', '聽宮', '豐隆', '翳風', '陽池', '外關', '風府', '脾', '百會', '神門', '聽會', '耳門', '腎', '內耳', '完骨', '足臨泣', '率谷', '暈聽區']"
DIS0124,眼球疾患,360,足太陽膀胱經,['眼球疾患'],"['肝俞', '四花中穴', '靈骨穴', '合谷', '行間', '太沖', '太陽一穴', '太陽二穴', '太陽', '睛明', '光明', '四花副穴', '足臨泣', '魚尾']"
SYS0191,脫髮,,足太陽膀胱經,"['头发局部明显的稀疏，甚至是光秃', '前额发际线后退或者稀疏']","['肝俞', '足三里', '血海', '三陰交', '百會', '膈俞']"
DIS0067,貧血,285.9,足太陽膀胱經,"['虛弱', '呼吸急促', '頭痛', '臉色蒼白', '胸痛', '暈眩', '心跳加快、心悸', '眼瞼無血色', '皮膚乾燥泛黃']","['肝俞', '腎俞', '足三里', '合谷', '內關', '風池', '大椎', '天皇副穴', '膏肓', '血海', '曲池', '三陰交', '膽俞', '陰陵泉', '命門', '至陽', '懸鐘', '膈俞', '火腑海穴', '足三重穴', '土靈穴']"
DIS0662,絕經後婦女睡眠障礙,,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '攢竹', '太陽', '三間', '風池', '大椎', '天突', '膏肓', '血海', '太溪', '曲池', '關元', '三陰交', '神門', '皮質下', '脾', '百會', '神庭', '本神', '大陵', '然谷', '照海', '復溜', '陰陵泉', '命門', '氣海', '次髎', '膈俞', '上星', '心俞', '交感', '腎', '心', '印堂', '膻中', '內分泌', '上髎', '陰郄', '足臨泣', '少海', '少府', '頭臨泣', '志室', '陰谷', '卵巢', '鳩尾', '安眠', '承靈', '曲泉', '上巨虛', '輒筋', '腦幹']"
DIS0150,視神經炎,377.3,足太陽膀胱經,"['視力急劇下降（0.1以下），短期（3-5天）可降至黑朦', '眼球深部有疼痛感，運動後視力模糊加重', '出現物體移動感和光幻感']","['肝俞', '腎俞', '足三里', '合谷', '太陽', '風池', '睛明', '球後', '光明', '止涎五穴', '承泣']"
DIS0669,經前症候群,,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '胃俞', '陽陵泉', '合谷', '期門', '行間', '太沖', '內關', '太陽', '血海', '太溪', '關元', '三陰交', '神門', '百會', '神庭', '陰陵泉', '命門', '中極', '氣海', '子宮', '膈俞', '心俞', '印堂', '膻中', '三焦俞', '頷厭', '率谷', '懸厘', '意舍', '魂門', '肓門']"
DIS0278,慢性肝炎,571.4,足太陽膀胱經,[],"['肝俞', '足三里', '陽陵泉', '行間', '太沖', '中脘', '膽俞', '湧泉', '偏肩穴', '至陽', '五虎穴', '肝靈穴']"
DIS0172,慢性缺血性心臟病,414,足太陽膀胱經,"['心前部位不适，且伴有心悸或者是乏力', '全身发热、出汗，伴有惊恐、恶心以及呕吐']","['肝俞', '足三里', '靈骨穴', '內關', '厥陰俞', '三陰交', '陰陵泉', '氣海', '膈俞', '心俞', '膻中', '通里', '火府穴', '火梁穴', '火昌穴', '金府穴', '金梁穴', '金昌穴', '木府穴', '木梁穴', '木昌穴', '三靈穴']"
DIS0074,精神官能症,300,足太陽膀胱經,"['焦慮性精神官能症：病人常表現出坐立難安、容易緊張、容易疲勞、注意力不集中，腦袋一片空白、易怒、肌肉緊繃、難以入睡等症狀。', '憂鬱性精神官能症：病人常表現出心情低落、鬱悶、情緒不穩定、易哭、煩躁以及容易生氣等症狀。', '衰弱性精神官能症：慢性疲勞、容易生氣、全身不明原因不適以及對生活大小事喪失興趣等症狀。', '強迫症：(1)強迫性思考：強迫性思考是一種不想要且侵入性的想法或是衝動，病人通常會有厭惡感，那些想法是無意義且難以擺脫的，像是手不乾淨、東西凌亂會覺得不適。(2)強迫性行為：大部分是隨著強迫性思考而來，像是重覆洗手、檢查、排序或是重複默念句子等。', '恐慌症：病人會感受強烈且突然的恐懼感，心神慌亂甚至有快要死亡的錯覺。', '慮病性精神官能症：過分關注個人身體健康，通常女性多於男性，大多發生在中年期，只要身體輕微的不舒服就會擔心自己得到重大疾病，縱使健康檢查正常，也持續懷疑自己生病。', '解離反應：病人將不願面對的心理威脅與衝突強行抑制，可能會導致人格離散，出現遺忘症、浮客症（病人脫離過去的記憶，重新開啟一個新生活，建立新的交友圈等，但可能會因為某些刺激回想起過去發生的事）、多重人格（病人有多個各自獨立的人格，並各自支配不同時間點的行為）以及夢遊等。', '生理症狀：包括胸悶、心悸、呼吸困難、消化不良、腹瀉、便秘以及女性月經失調']","['肝俞', '腎俞', '足三里', '水通穴', '水金穴', '內關', '攢竹', '豐隆', '天皇副穴', '人皇穴', '神門', '皮質下', '百會', '水溝', '郄門', '足竅陰', '指腎穴', '湧泉', '大鐘', '照海', '水中穴', '地皇穴', '至陽', '胃', '光明', '心俞', '心', '枕', '火散穴', '地士穴', '天皇穴', '水泉', '三焦俞', '厲兌', '水耳穴']"
SYS0032,鼻血,784.7,足太陽膀胱經,['鼻血'],"['肝俞', '合谷', '太沖', '內庭', '風池', '大椎', '肩中穴', '建中穴', '肩峰穴', '委中', '風府', '搏球穴', '百會', '神庭', '迎香', '水溝', '郄門', '大鐘', '少商', '隱白', '公孫', '懸鐘', '膈俞', '上星', '囟會', '禾髎', '腕骨', '陰郄', '京骨', '厲兌', '腕順二穴', '譩譆', '齦交', '前谷', '腦空', '上迎香', '沖陽', '頸百勞', '素髎', '天府']"
